ID_RefSeq_v2.1,ID_RefSeq_v1.1,Module.Assignment
TraesCS1A03G0205400.1,TraesCS1A02G084400.1,W01
TraesCS1A03G0205600.1,TraesCS1A02G084600.1,W01
TraesCS1A03G0206200.1,TraesCS1A02G084900.1,W01
TraesCS1A03G0206300.1,TraesCS1A02G085000.1,W01
TraesCS1A03G0207200.1,TraesCS1A02G085300.1,W01
TraesCS1A03G0207500.1,TraesCS1A02G085500.1,W01
TraesCS1A03G0207700.1,TraesCS1A02G085700.1,W01
TraesCS1A03G0208000.1,TraesCS1A02G085900.1,W01
TraesCS1A03G0210300.1,TraesCS1A02G086500.1,W01
TraesCS1A03G0210700.1,TraesCS1A02G086900.1,W01
TraesCS1A03G0211100.1,TraesCS1A02G087100.1,W01
TraesCS1A03G0214200.1,TraesCS1A02G088200.1,W01
TraesCS1A03G0215300.1,TraesCS1A02G088800.1,W01
TraesCS1A03G0217900.1,TraesCS1A02G089800.1,W01
TraesCS1A03G0218600.1,TraesCS1A02G090300.1,W01
TraesCS1A03G0221400.1,TraesCS1A02G091300.1,W01
TraesCS1A03G0222100.1,TraesCS1A02G091500.1,W01
TraesCS1A03G0222200.1,TraesCS1A02G091600.1,W01
TraesCS1A03G0224700.1,TraesCS1A02G092900.1,W01
TraesCS1A03G0227400.1,TraesCS1A02G094000.1,W01
TraesCS1A03G0228200.1,TraesCS1A02G094200.1,W01
TraesCS1A03G0229800.1,TraesCS1A02G094800.1,W01
TraesCS1A03G0230800.1,TraesCS1A02G095200.1,W01
TraesCS1A03G0231700.1,TraesCS1A02G095600.1,W01
TraesCS1A03G0232500.1,TraesCS1A02G096400.1,W01
TraesCS1A03G0232800.2,TraesCS1A02G096500.2,W01
TraesCS1A03G0232900.1,TraesCS1A02G096600.1,W01
TraesCS1A03G0233400.1,TraesCS1A02G097000.1,W01
TraesCS1A03G0233800.1,TraesCS1A02G097300.1,W01
TraesCS1A03G0233900.1,TraesCS1A02G097400.1,W01
TraesCS1A03G0234500.1,TraesCS1A02G097600.1,W01
TraesCS1A03G0241600.1,TraesCS1A02G099300.1,W01
TraesCS1A03G0242000.1,TraesCS1A02G099400.1,W01
TraesCS1A03G0242800.1,TraesCS1A02G099700.1,W01
TraesCS1A03G0244300.1,TraesCS1A02G100500.1,W01
TraesCS1A03G0244400.1,TraesCS1A02G100600.1,W01
TraesCS1A03G0245600.1,TraesCS1A02G101000.2,W01
TraesCS1A03G0245700.1,TraesCS1A02G101100.1,W01
TraesCS1A03G0245800.1,TraesCS1A02G101200.1,W01
TraesCS1A03G0245900.1,TraesCS1A02G101300.1,W01
TraesCS1A03G0246200.1,TraesCS1A02G101500.1,W01
TraesCS1A03G0249000.1,TraesCS1A02G102600.1,W01
TraesCS1A03G0252100.1,TraesCS1A02G104200.1,W01
TraesCS1A03G0253000.1,TraesCS1A02G104500.1,W01
TraesCS1A03G0253200.1,TraesCS1A02G104700.1,W01
TraesCS1A03G0255000.1,TraesCS1A02G105300.1,W01
TraesCS1A03G0256200.1,TraesCS1A02G105700.1,W01
TraesCS1A03G0256300.1,TraesCS1A02G105800.1,W01
TraesCS1A03G0256600.1,TraesCS1A02G106000.1,W01
TraesCS1A03G0257700.1,TraesCS1A02G106300.1,W01
TraesCS1A03G0258600.1,TraesCS1A02G106700.1,W01
TraesCS1A03G0263400.1,TraesCS1A02G108800.1,W01
TraesCS1A03G0264600.1,TraesCS1A02G109300.1,W01
TraesCS1A03G0264800.1,TraesCS1A02G109400.1,W01
TraesCS1A03G0264900.1,TraesCS1A02G109500.1,W01
TraesCS1A03G0265100.1,TraesCS1A02G109600.1,W01
TraesCS1A03G0265300.1,TraesCS1A02G109700.1,W01
TraesCS1A03G0266400.1,TraesCS1A02G110100.1,W01
TraesCS1A03G0266600.1,TraesCS1A02G110200.1,W01
TraesCS1A03G0270200.1,TraesCS1A02G111300.1,W01
TraesCS1A03G0271100.1,TraesCS1A02G111500.1,W01
TraesCS1A03G0271400.1,TraesCS1A02G111800.1,W01
TraesCS1A03G0272100.1,TraesCS1A02G112000.1,W01
TraesCS1A03G0278600.1,TraesCS1A02G114100.1,W01
TraesCS1A03G0280200.1,TraesCS1A02G114600.1,W01
TraesCS1A03G0280400.1,TraesCS1A02G114700.1,W01
TraesCS1A03G0280800.1,TraesCS1A02G115000.1,W01
TraesCS1A03G0282800.1,TraesCS1A02G115500.1,W01
TraesCS1A03G0285300.1,TraesCS1A02G116300.1,W01
TraesCS1A03G0286100.1,TraesCS1A02G116500.1,W01
TraesCS1A03G0286300.1,TraesCS1A02G116700.1,W01
TraesCS1A03G0287900.1,TraesCS1A02G117600.1,W01
TraesCS1A03G0290100.1,TraesCS1A02G118200.1,W01
TraesCS1A03G0291600.1,TraesCS1A02G118800.1,W01
TraesCS1A03G0292800.1,TraesCS1A02G119100.1,W01
TraesCS1A03G0294200.1,TraesCS1A02G119600.1,W01
TraesCS1A03G0294600.1,TraesCS1A02G119700.1,W01
TraesCS1A03G0294700.1,TraesCS1A02G119800.1,W01
TraesCS1A03G0294900.1,TraesCS1A02G120000.1,W01
TraesCS1A03G0295400.1,TraesCS1A02G120400.1,W01
TraesCS1A03G0296500.1,TraesCS1A02G120800.1,W01
TraesCS1A03G0296700.2,TraesCS1A02G120900.2,W01
TraesCS1A03G0298200.1,TraesCS1A02G121200.1,W01
TraesCS1A03G0298600.1,TraesCS1A02G121400.1,W01
TraesCS1A03G0300800.1,TraesCS1A02G122100.1,W01
TraesCS1A03G0309100.1,TraesCS1A02G124500.1,W01
TraesCS1A03G0309300.1,TraesCS1A02G124600.1,W01
TraesCS1A03G0309800.1,TraesCS1A02G124700.1,W01
TraesCS1A03G0310500.1,TraesCS1A02G125000.1,W01
TraesCS1A03G0310800.1,TraesCS1A02G125100.1,W01
TraesCS1A03G0312000.1,TraesCS1A02G125500.1,W01
TraesCS1A03G0312100.1,TraesCS1A02G125600.1,W01
TraesCS1A03G0312400.1,TraesCS1A02G125700.1,W01
TraesCS1A03G0312900.1,TraesCS1A02G125900.1,W01
TraesCS1A03G0313200.1,TraesCS1A02G126000.1,W01
TraesCS1A03G0314000.1,TraesCS1A02G126400.1,W01
TraesCS1A03G0315800.1,TraesCS1A02G126600.1,W01
TraesCS1A03G0316300.1,TraesCS1A02G126900.1,W01
TraesCS1A03G0316400.1,TraesCS1A02G127000.1,W01
TraesCS1A03G0317300.1,TraesCS1A02G127400.1,W01
TraesCS1A03G0317400.1,TraesCS1A02G127500.1,W01
TraesCS1A03G0319000.1,TraesCS1A02G127900.1,W01
TraesCS1A03G0321300.1,TraesCS1A02G128600.1,W01
TraesCS1A03G0324000.3,TraesCS1A02G129200.1,W01
TraesCS1A03G0325800.1,TraesCS1A02G129600.1,W01
TraesCS1A03G0326700.1,TraesCS1A02G129700.1,W01
TraesCS1A03G0326800.1,TraesCS1A02G129800.1,W01
TraesCS1A03G0329000.1,TraesCS1A02G130700.1,W01
TraesCS1A03G0330400.1,TraesCS1A02G130900.1,W01
TraesCS1A03G0333400.1,TraesCS1A02G131600.1,W01
TraesCS1A03G0334100.1,TraesCS1A02G131900.1,W01
TraesCS1A03G0341000.2,TraesCS1A02G133400.2,W01
TraesCS1A03G0342500.1,TraesCS1A02G133900.1,W01
TraesCS1A03G0346700.1,TraesCS1A02G134300.1,W01
TraesCS1A03G0347000.3,TraesCS1A02G134500.3,W01
TraesCS1A03G0348600.1,TraesCS1A02G134800.1,W01
TraesCS1A03G0352100.1,TraesCS1A02G135600.1,W01
TraesCS1A03G0357800.2,TraesCS1A02G136400.2,W01
TraesCS1A03G0359100.1,TraesCS1A02G136600.1,W01
TraesCS1A03G0360300.1,TraesCS1A02G136900.1,W01
TraesCS1A03G0363600.1,TraesCS1A02G137600.1,W01
TraesCS1A03G0363800.2,TraesCS1A02G137700.2,W01
TraesCS1A03G0366300.1,TraesCS1A02G138000.1,W01
TraesCS1A03G0367400.1,TraesCS1A02G138100.1,W01
TraesCS1A03G0369600.1,TraesCS1A02G138400.1,W01
TraesCS1A03G0371500.1,TraesCS1A02G139300.1,W01
TraesCS1A03G0376700.1,TraesCS1A02G140600.1,W01
TraesCS1A03G0376900.1,TraesCS1A02G140700.1,W01
TraesCS1A03G0377800.1,TraesCS1A02G141100.1,W01
TraesCS1A03G0378500.1,TraesCS1A02G141400.1,W01
TraesCS1A03G0380800.1,TraesCS1A02G142000.1,W01
TraesCS1A03G0381000.5,TraesCS1A02G142200.5,W01
TraesCS1A03G0381500.1,TraesCS1A02G142300.1,W01
TraesCS1A03G0381900.1,TraesCS1A02G142400.1,W01
TraesCS1A03G0383400.1,TraesCS1A02G142700.1,W01
TraesCS1A03G0384100.1,TraesCS1A02G142900.1,W01
TraesCS1A03G0385800.1,TraesCS1A02G143400.1,W01
TraesCS1A03G0390800.1,TraesCS1A02G144800.1,W01
TraesCS1A03G0391400.1,TraesCS1A02G145000.1,W01
TraesCS1A03G0392000.1,TraesCS1A02G145500.1,W01
TraesCS1A03G0393900.1,TraesCS1A02G146400.1,W01
TraesCS1A03G0394600.1,TraesCS1A02G146600.1,W01
TraesCS1A03G0395900.1,TraesCS1A02G146900.1,W01
TraesCS1A03G0397200.1,TraesCS1A02G147400.1,W01
TraesCS1A03G0398000.1,TraesCS1A02G147700.1,W01
TraesCS1A03G0399200.1,TraesCS1A02G148100.1,W01
TraesCS1A03G0400500.1,TraesCS1A02G148300.1,W01
TraesCS1A03G0402000.1,TraesCS1A02G149100.1,W01
TraesCS1A03G0402200.1,TraesCS1A02G149300.1,W01
TraesCS1A03G0403300.1,TraesCS1A02G150000.1,W01
TraesCS1A03G0404500.1,TraesCS1A02G150500.1,W01
TraesCS1A03G0404600.1,TraesCS1A02G150600.1,W01
TraesCS1A03G0405100.1,TraesCS1A02G150800.1,W01
TraesCS1A03G0405800.1,TraesCS1A02G151100.1,W01
TraesCS1A03G0407200.1,TraesCS1A02G151500.1,W01
TraesCS1A03G0407400.1,TraesCS1A02G151700.1,W01
TraesCS1A03G0410700.1,TraesCS1A02G152900.1,W01
TraesCS1A03G0410800.1,TraesCS1A02G153000.1,W01
TraesCS1A03G0412000.1,TraesCS1A02G153300.1,W01
TraesCS1A03G0412800.1,TraesCS1A02G153700.1,W01
TraesCS1A03G0413400.1,TraesCS1A02G154100.1,W01
TraesCS1A03G0413600.1,TraesCS1A02G154200.1,W01
TraesCS1A03G0413900.1,TraesCS1A02G154400.1,W01
TraesCS1A03G0416600.1,TraesCS1A02G155200.1,W01
TraesCS1A03G0417400.1,TraesCS1A02G155600.1,W01
TraesCS1A03G0418900.1,TraesCS1A02G155900.1,W01
TraesCS1A03G0419000.1,TraesCS1A02G156000.1,W01
TraesCS1A03G0419300.1,TraesCS1A02G156100.1,W01
TraesCS1A03G0419400.1,TraesCS1A02G156200.1,W01
TraesCS1A03G0420300.1,TraesCS1A02G156500.1,W01
TraesCS1A03G0420500.1,TraesCS1A02G156600.1,W01
TraesCS1A03G0425300.1,TraesCS1A02G157500.1,W01
TraesCS1A03G0425600.1,TraesCS1A02G157600.1,W01
TraesCS1A03G0428100.1,TraesCS1A02G158500.1,W01
TraesCS1A03G0428600.1,TraesCS1A02G158800.1,W01
TraesCS1A03G0428800.1,TraesCS1A02G158900.1,W01
TraesCS1A03G0429800.1,TraesCS1A02G159600.1,W01
TraesCS1A03G0430900.1,TraesCS1A02G159700.1,W01
TraesCS1A03G0432300.1,TraesCS1A02G160000.1,W01
TraesCS1A03G0432500.1,TraesCS1A02G160100.1,W01
TraesCS1A03G0432800.1,TraesCS1A02G160400.1,W01
TraesCS1A03G0433600.1,TraesCS1A02G160600.1,W01
TraesCS1A03G0435700.1,TraesCS1A02G161300.1,W01
TraesCS1A03G0437000.1,TraesCS1A02G161900.1,W01
TraesCS1A03G0439400.1,TraesCS1A02G162600.1,W01
TraesCS1A03G0441900.1,TraesCS1A02G163200.1,W01
TraesCS1A03G0442700.1,TraesCS1A02G163500.1,W01
TraesCS1A03G0444900.1,TraesCS1A02G163900.1,W01
TraesCS1A03G0445700.1,TraesCS1A02G164300.1,W01
TraesCS1A03G0445800.1,TraesCS1A02G164400.1,W01
TraesCS1A03G0447200.1,TraesCS1A02G164700.1,W01
TraesCS1A03G0448400.1,TraesCS1A02G165300.1,W01
TraesCS1A03G0448800.1,TraesCS1A02G165500.1,W01
TraesCS1A03G0449400.1,TraesCS1A02G165600.1,W01
TraesCS1A03G0449900.1,TraesCS1A02G165700.1,W01
TraesCS1A03G0452700.1,TraesCS1A02G167300.1,W01
TraesCS1A03G0455100.1,TraesCS1A02G168700.1,W01
TraesCS1A03G0455600.1,TraesCS1A02G168800.1,W01
TraesCS1A03G0455900.1,TraesCS1A02G169100.1,W01
TraesCS1A03G0460400.1,TraesCS1A02G170500.1,W01
TraesCS1A03G0460600.2,TraesCS1A02G170600.1,W01
TraesCS1A03G0461700.1,TraesCS1A02G171200.1,W01
TraesCS1A03G0462000.1,TraesCS1A02G171300.1,W01
TraesCS1A03G0462400.1,TraesCS1A02G171500.1,W01
TraesCS1A03G0462800.1,TraesCS1A02G171700.1,W01
TraesCS1A03G0463800.1,TraesCS1A02G172100.1,W01
TraesCS1A03G0464100.1,TraesCS1A02G172300.1,W01
TraesCS1A03G0465000.1,TraesCS1A02G172600.1,W01
TraesCS1A03G0465100.1,TraesCS1A02G172700.1,W01
TraesCS1A03G0465800.2,TraesCS1A02G173100.2,W01
TraesCS1A03G0466600.1,TraesCS1A02G173400.1,W01
TraesCS1A03G0468700.1,TraesCS1A02G173800.1,W01
TraesCS1A03G0469000.2,TraesCS1A02G174000.2,W01
TraesCS1A03G0469800.1,TraesCS1A02G174100.1,W01
TraesCS1A03G0470400.1,TraesCS1A02G174200.1,W01
TraesCS1A03G0471100.1,TraesCS1A02G174500.1,W01
TraesCS1A03G0471700.1,TraesCS1A02G174900.1,W01
TraesCS1A03G0473400.1,TraesCS1A02G175600.1,W01
TraesCS1A03G0474300.1,TraesCS1A02G176000.1,W01
TraesCS1A03G0474700.1,TraesCS1A02G176300.1,W01
TraesCS1A03G0475600.2,TraesCS1A02G176500.1,W01
TraesCS1A03G0475600.3,TraesCS1A02G176500.3,W01
TraesCS1A03G0478300.1,TraesCS1A02G177000.1,W01
TraesCS1A03G0479200.1,TraesCS1A02G177400.1,W01
TraesCS1A03G0479500.1,TraesCS1A02G177500.1,W01
TraesCS1A03G0480300.1,TraesCS1A02G177700.1,W01
TraesCS1A03G0483100.1,TraesCS1A02G178600.1,W01
TraesCS1A03G0484700.1,TraesCS1A02G179500.1,W01
TraesCS1A03G0484900.1,TraesCS1A02G179700.1,W01
TraesCS1A03G0485600.1,TraesCS1A02G179900.1,W01
TraesCS1A03G0486000.1,TraesCS1A02G180100.1,W01
TraesCS1A03G0486200.1,TraesCS1A02G180200.1,W01
TraesCS1A03G0486500.1,TraesCS1A02G180400.1,W01
TraesCS1A03G0490000.1,TraesCS1A02G182000.1,W01
TraesCS1A03G0490200.1,TraesCS1A02G182200.1,W01
TraesCS1A03G0493300.1,TraesCS1A02G183200.1,W01
TraesCS1A03G0493700.1,TraesCS1A02G183400.1,W01
TraesCS1A03G0497900.1,TraesCS1A02G184600.1,W01
TraesCS1A03G0498600.1,TraesCS1A02G184800.1,W01
TraesCS1A03G0499200.1,TraesCS1A02G185100.1,W01
TraesCS1A03G0500000.1,TraesCS1A02G185400.1,W01
TraesCS1A03G0500200.1,TraesCS1A02G185500.1,W01
TraesCS1A03G0501700.1,TraesCS1A02G186200.1,W01
TraesCS1A03G0503700.1,TraesCS1A02G187400.1,W01
TraesCS1A03G0503900.2,TraesCS1A02G187600.1,W01
TraesCS1A03G0505400.1,TraesCS1A02G188400.1,W01
TraesCS1A03G0505500.1,TraesCS1A02G188500.1,W01
TraesCS1A03G0505600.1,TraesCS1A02G188600.1,W01
TraesCS1A03G0506600.1,TraesCS1A02G188800.1,W01
TraesCS1A03G0506700.1,TraesCS1A02G188900.1,W01
TraesCS1A03G0507300.1,TraesCS1A02G189000.1,W01
TraesCS1A03G0507400.1,TraesCS1A02G189100.1,W01
TraesCS1A03G0507600.1,TraesCS1A02G189200.1,W01
TraesCS1A03G0508000.1,TraesCS1A02G189400.1,W01
TraesCS1A03G0508100.1,TraesCS1A02G189500.1,W01
TraesCS1A03G0510000.1,TraesCS1A02G190100.1,W01
TraesCS1A03G0511800.1,TraesCS1A02G190900.1,W01
TraesCS1A03G0511900.1,TraesCS1A02G191000.1,W01
TraesCS1A03G0514200.1,TraesCS1A02G191700.1,W01
TraesCS1A03G0514700.1,TraesCS1A02G191800.1,W01
TraesCS1A03G0515500.1,TraesCS1A02G192400.1,W01
TraesCS1A03G0515800.1,TraesCS1A02G192500.1,W01
TraesCS1A03G0516000.1,TraesCS1A02G192600.1,W01
TraesCS1A03G0516100.1,TraesCS1A02G192700.1,W01
TraesCS1A03G0517500.1,TraesCS1A02G193100.1,W01
TraesCS1A03G0517900.1,TraesCS1A02G193200.1,W01
TraesCS1A03G0519900.1,TraesCS1A02G193600.1,W01
TraesCS1A03G0520500.1,TraesCS1A02G194000.1,W01
TraesCS1A03G0521800.1,TraesCS1A02G194500.1,W01
TraesCS1A03G0524500.1,TraesCS1A02G195300.1,W01
