"","logFC","logCPM","PValue","FDR"
"FGRAMPH1_01T01063",4.60099337868331,3.5384795313223,1.63225282921221e-06,9.3323832524849e-06
"FGRAMPH1_01T01071",2.93546740624633,6.16695265006028,4.34474597144267e-11,4.4263950437395e-10
"FGRAMPH1_01T01085",2.74093159432751,4.13447933999358,0.000397134638567197,0.00152429190144115
"FGRAMPH1_01T01087",1.11396346537163,5.64815316729803,0.0178305959370358,0.0438953512473056
"FGRAMPH1_01T01091",1.42699953823547,5.63681427516797,1.69818280625474e-05,8.36538921932359e-05
"FGRAMPH1_01T01099",-9.38047277495676,2.09826300096017,6.93940861140678e-10,6.2484537264328e-09
"FGRAMPH1_01T01103",1.6817808989764,7.37200739820775,4.2183172833403e-05,0.000193410401996448
"FGRAMPH1_01T01127",-2.63739338580551,8.55702777442717,5.25704284428107e-10,4.78715746559729e-09
"FGRAMPH1_01T01129",-2.65756658265066,0.502317888415879,0.0171920986718082,0.0425552231850318
"FGRAMPH1_01T01131",-1.31548596959936,5.43482280955122,0.000996055759085022,0.00348319899976824
"FGRAMPH1_01T01133",2.24849366569134,5.3678463318374,1.48713116418878e-07,1.00063365729307e-06
"FGRAMPH1_01T01139",-1.1159962889204,6.90232918950297,0.00262126985289088,0.00821886319172828
"FGRAMPH1_01T01151",1.13772547343059,5.99258662969926,0.00568900914334827,0.0163393089944697
"FGRAMPH1_01T01163",2.22493432337643,6.56117103122468,7.2047318416934e-07,4.31500339208002e-06
"FGRAMPH1_01T01165",-3.52882668270242,8.00478094543185,2.11956896849756e-10,2.00515823846202e-09
"FGRAMPH1_01T01169",-0.954130057906301,5.2830167263709,0.0124508098369614,0.0321615147897674
"FGRAMPH1_01T01173",-2.60656274213894,5.10820139951301,2.33316079129989e-09,1.9798752116278e-08
"FGRAMPH1_01T01175",-2.39025590044443,6.2549548937005,1.36066008416764e-08,1.04912206784422e-07
"FGRAMPH1_01T01179",1.96586032490484,2.56538905106708,0.00495071289292218,0.0144287768798453
"FGRAMPH1_01T01183",-1.47014842608447,3.65852254254725,0.00188858497912482,0.00614436089445987
"FGRAMPH1_01T01209",5.01412024611901,7.03854936999298,1.13058310874743e-23,3.53113166173861e-22
"FGRAMPH1_01T01213",-1.15769575576889,7.77984575772988,0.00149791330751041,0.00499129520270109
"FGRAMPH1_01T01215",-7.21910160835666,1.28931932428089,0.00239937910380725,0.00759597687235559
"FGRAMPH1_01T01227",0.828847634593639,4.56290827432981,0.0191328369219923,0.0465984340583812
"FGRAMPH1_01T01229",-1.30178001279406,6.64895497215493,0.000170484036110139,0.000703936254862029
"FGRAMPH1_01T01233",1.08475304423379,4.71188641925395,0.00292396582942612,0.00905399658872018
"FGRAMPH1_01T01241",-6.89822886671744,6.90769325686822,4.53515158665739e-21,1.14340460364328e-19
"FGRAMPH1_01T01243",-8.138770692737,1.40110039329899,0.000662307034781911,0.00242297849822487
"FGRAMPH1_01T01245",2.17518885975203,5.44564908741866,9.75093760544951e-05,0.000420891337317732
"FGRAMPH1_01T01249",3.59842617552012,3.98767051047465,3.90213646833046e-12,4.44750042136619e-11
"FGRAMPH1_01T01251",-1.50647630002746,5.17098879775681,0.00131396988158632,0.00445209419398887
"FGRAMPH1_01T01253",-2.09300935250285,8.13601166172893,3.56664429582783e-08,2.62063197101451e-07
"FGRAMPH1_01T01259",-1.59908199797449,11.3543312337479,5.96260354860558e-07,3.64195685516989e-06
"FGRAMPH1_01T01263",-2.23140208376754,6.05629671734472,1.62987122086867e-08,1.2411457484679e-07
"FGRAMPH1_01T01275",-2.34695812673845,4.52341253129888,1.10303390258689e-05,5.59430136828242e-05
"FGRAMPH1_01T01279",-3.02161364433664,3.09114895657932,0.00209817755550957,0.00673412017279036
