,logFC,logCPM,PValue,FDR
FGRAMPH1_01T08647,2.118246939,3.92779013,0.000196659,0.000649303
FGRAMPH1_01T08661,1.879732015,2.409433912,6.15E-05,0.000221622
FGRAMPH1_01T08665,9.662094607,7.182251689,2.17E-33,8.44E-32
FGRAMPH1_01T08667,2.885253394,3.802251986,7.12E-14,6.92E-13
FGRAMPH1_01T08669,6.706755924,4.906405215,1.59E-20,2.52E-19
FGRAMPH1_01T08671,7.26613523,3.542509386,1.64E-12,1.42E-11
FGRAMPH1_01T08673,1.381100988,3.081562269,0.013056142,0.027839634
FGRAMPH1_01T08675,11.61697244,8.164209644,2.41E-52,3.55E-50
FGRAMPH1_01T08679,2.023865059,8.463222015,7.25E-07,3.51E-06
FGRAMPH1_01T08681,-6.400159449,2.128167858,4.87E-05,0.000179241
FGRAMPH1_01T08685,7.596034294,3.5819563,2.69E-24,5.43E-23
FGRAMPH1_01T08687,7.359652579,1.955993265,8.52E-07,4.09E-06
FGRAMPH1_01T08719,2.657554217,3.95260838,1.54E-08,9.08E-08
FGRAMPH1_01T08721,2.35827514,3.308541342,1.97E-11,1.55E-10
FGRAMPH1_01T08727,7.166509307,4.017958564,1.41E-07,7.47E-07
FGRAMPH1_01T08729,7.016576047,3.693747589,1.42E-06,6.65E-06
FGRAMPH1_01T08743,1.637484798,1.465272301,0.010722779,0.02347122
FGRAMPH1_01T08749,10.50483725,5.07171633,3.54E-20,5.52E-19
FGRAMPH1_01T08757,3.650947838,0.054414284,0.000395712,0.001230412
FGRAMPH1_01T08759,6.925129903,5.309466502,1.18E-31,4.01E-30
FGRAMPH1_01T08761,8.798205291,3.597085474,1.46E-22,2.66E-21
FGRAMPH1_01T08765,5.472492784,2.07639059,0.003049659,0.007735415
FGRAMPH1_01T08777,-1.784411584,0.838069187,0.000973115,0.002783405
FGRAMPH1_01T08797,9.970645701,4.953850076,2.10E-28,5.53E-27
FGRAMPH1_01T08807,7.464956015,1.503603988,9.63E-08,5.21E-07
FGRAMPH1_01T08809,2.438892598,2.564985397,1.85E-08,1.08E-07
FGRAMPH1_01T08819,7.504198764,6.152396118,4.69E-30,1.41E-28
FGRAMPH1_01T08833,1.710677885,1.047860276,0.020864557,0.041861143
FGRAMPH1_01T08839,9.63903495,9.760286264,3.02E-63,8.09E-61
FGRAMPH1_01T08843,6.62642225,1.209935554,5.90E-06,2.52E-05
FGRAMPH1_01T08845,7.283437473,8.479731104,2.60E-25,5.59E-24
FGRAMPH1_01T08857,9.983777182,6.968652262,1.22E-26,2.82E-25
FGRAMPH1_01T08859,5.724605176,2.186384462,1.39E-07,7.35E-07
FGRAMPH1_01T08863,1.769142838,4.187226039,2.33E-06,1.06E-05
FGRAMPH1_01T08873,1.451855108,3.148069225,0.001117425,0.003149681
FGRAMPH1_01T08877,6.522288991,4.046092566,7.97E-22,1.38E-20
FGRAMPH1_01T08879,7.008738268,4.379130286,4.41E-27,1.05E-25
FGRAMPH1_01T08887,-3.391696284,2.375440648,1.87E-08,1.09E-07
